Name,SellPrice,BuyPrice,AvgSellPrice,AvgBuyPrice,Sold,Bought,Profit,RelProfit,PotProfit,ApproxOffers
angel figurine,37400,35370,37498,35370,2,156,2030,0.06,4060,0
angelic axe,5500,4550,5182,4548,19,235,950,0.21,18050,0
animal cure,740,500,883,1250,88,2,240,0.48,480,0
animal fetish,799,0,857,0,6,0,799,0,0,0
animate dead rune,46,11,44,7,21,23,35,3.18,735,1
ankh,500,500,90,68,96,488,0,0.0,0,1
annihilation bear,99613,60000,119034,56395,12,10,39613,0.66,396130,1
anniversary backpack,199999,160200,257758,159106,44,50,39799,0.25,1751156,3
anniversary cake,79790,30000,99766,43573,3,6,49790,1.66,149370,1
antidote potion,1000,1000,2000,1000,1,3,0,0.0,0,0
antler talisman,-1,0,0,0,0,0,-1,0,0,0
antler-horn helmet,34900000,25000000,43200000,25000000,2,1,9900000,0.4,9900000,0
antlers,2499,501,1319,316,15,36,1998,3.99,29970,1
ape fur,17350,15271,20098,17041,486,587,2079,0.14,1010394,5
apron,-1,441,0,441,0,9,-442,-1.0,0,0
arbalest,43798,37100,42429,37521,30,50,6698,0.18,200940,1
arboreal crown,44999000,36025000,37929995,33820500,25,18,8974000,0.25,161532000,2
arboreal ring,113749000,102002000,123064194,102252000,4,2,11747000,0.12,23494000,2
arboreal tome,94000000,82222000,93512944,86084800,18,10,11778000,0.14,117780000,1
arcane staff,41568,38000,41386,36708,20,86,3568,0.09,71360,0
arcanomancer folio,84000000,71022000,77563176,69806333,27,12,12978000,0.18,155736000,3
arcanomancer regalia,50000000,50000000,53967523,45250385,21,15,0,0.0,0,0
arcanomancer sigil,95000000,87000000,93991600,87340666,5,3,8000000,0.09,24000000,2
arena badge,249900,21100,299833,72444,3,6,228800,10.84,686400,0
armor rack kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
arrow,4,1,3,1,234,186,3,3.0,558,0
artist's brush,650000,185557,872551,136300,3,1,464443,2.5,464443,0
artist's canvas,899900,270100,836627,250655,6,1,629800,2.33,629800,0
artist's palette,8990,1,27990,2400,1,2,8989,8989.0,8989,0
assassin dagger,22998,19380,22023,19746,47,1184,3618,0.19,170046,0
assassin star,21,17,19,13,815,1550,4,0.24,3260,0
astral glyph,1900000,110000,0,0,0,0,1790000,16.27,0,0
astral shaper rune,5196999,3503000,4680166,3501666,6,3,1693999,0.48,5081997,0
astral source,1750000,1000000,1430000,1000000,3,1,750000,0.75,750000,1
atlas,2799,111,3582,1716,79,4,2688,24.22,10752,0
aubergine,1,1,598,1,1,3,0,0.0,0,0
avalanche rune,58,56,57,55,4974,874,2,0.04,1748,0
axe,5500,4550,5182,4548,19,235,950,0.21,18050,0
axe ring,450,411,611,458,1027,623,39,0.09,24297,3
axe of carving,-1,-1,-1,-1,-1,-1,0,0,0,-1
axe of destruction,769000,550000,885998,614480,12,17,219000,0.4,2628000,0
axe of mayhem,-1,-1,-1,-1,-1,-1,0,0,0,-1
axe of remedy,-1,-1,-1,-1,-1,-1,0,0,0,-1
babel swimmer,-1,1,0,0,0,0,-2,-2.0,0,0
baby rotworm,740,100,805,69,95,19,640,6.4,12160,0
backpack,2500000,1304000,1833153,1305546,21,11,1196000,0.92,13156000,3
backpack of holding,141111,101110,127330,95452,285,330,40001,0.4,11400285,8
badbara,900000,380100,832250,328966,4,2,519900,1.37,1039800,1
badger boots,7599,7237,7601,7139,30,712,362,0.05,10860,0
badger fur,22,5,17,4,8,120,17,3.4,136,3
bag,-1,0,0,0,0,0,-1,0,0,0
bag of apple slices,100,4,113,7,449,224,96,24.0,21504,4
bag of oriental spices,1090000,165000,1090000,0,1,0,925000,5.61,0,0
bait,73,1,48,0,52,0,72,72.0,0,1
baking tray,-1,1,0,0,0,0,-2,-2.0,0,0
bale of white cloth,-1,-1,-1,-1,-1,-1,0,0,0,-1
bale of yellowed cloth,-1,-1,-1,-1,-1,-1,0,0,0,-1
bamboo drawer kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
bamboo leaves,3493,1042,2120,801,386,197,2451,2.35,482847,3
bamboo stick,486,12,545,8,10,21,474,39.5,4740,0
bamboo table kit,100000,100000,1000000,0,1,0,0,0.0,0,0
banana,13,4,14,3,81,6,9,2.25,54,1
banana chocolate shake,235,16,357,34,26,47,219,13.69,5694,1
banana sash,65,31,74,25,1,146,34,1.1,34,0
banana skin,50,2,59,2,35,19,48,24.0,912,0
banana staff,170000,37000,172639,81028,72,18,133000,3.59,2394000,1
bandana,148,52,118,62,15,81,96,1.85,1440,0
bar of chocolate,5997,4201,5112,3900,80,206,1796,0.43,143680,2
bar of gold,33990,10000,30928,11439,74,72,23990,2.4,1727280,2
barbarian axe,501,1,590,8,11,26,500,500.0,5500,0
bark peeler,3000,16,4450,16,1,6,2984,186.5,2984,1
barrel kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
barrel of beer,-1,-1,-1,-1,-1,-1,0,0,0,-1
basalt fetish,130,130,299,124,2,36,0,0.0,0,0
basalt figurine,400,87,397,107,4,48,313,3.6,1252,0
bashmu fang,-1,300,0,305,0,25,-301,-1.0,0,0
bashmu feather,-1,320,0,296,0,26,-321,-1.0,0,0
bashmu tongue,360,360,395,285,1,28,0,0.0,0,0
basket,1240000,605400,1289999,735133,1,3,634600,1.05,634600,0
bast legs,1000000,899000,1514285,974555,7,2,101000,0.11,202000,1
bast skirt,33948,16001,46313,18636,56,39,17947,1.12,699933,0
bat decoration,7890,1708,0,1652,0,23,6182,3.62,0,1
bat wing,60,35,75,41,200,477,25,0.71,5000,1
battle axe,41,41,150,30,3,103,0,0.0,0,0
battle hammer,150,71,218,51,10,136,79,1.11,790,0
battle shield,36,36,165,28,4,141,0,0.0,0,0
battle stone,293,133,342,176,195,574,160,1.2,31200,2
batwing hat,8999,7731,9079,6802,87,85,1268,0.16,107780,0
beach backpack,125,35,207,33,493,281,90,2.57,25290,3
beach bag,548,5,546,5,50,7,543,108.6,3801,0
bear doll,27000000,12111111,25949999,0,2,0,14888889,1.23,0,0
bear paw,328,164,341,172,232,628,164,1.0,38048,3
bear skin,79835,51214,84500,46125,186,113,28621,0.56,3234173,3
beast's nightmare-cushion,939000,620000,0,607000,0,25,319000,0.51,0,1
beastslayer axe,1988,1440,1762,1443,26,738,548,0.38,14248,0
bed of nails,528,290,517,400,7,497,238,0.82,1666,1
beer bottle,0,0,14750,0,4,0,0,0,0,0
beer mug,-1,122222,0,0,0,0,-122223,-1.0,0,0
beetle carapace,67,67,200,67,1,53,0,0.0,0,0
beetle necklace,1654,1450,3136,2014,256,222,204,0.14,45288,3
beetroot,10,2,1,2,19,3,8,4.0,24,1
behemoth claw,3997,1855,4138,1594,81,134,2142,1.15,173502,1
behemoth trophy,19940,17255,19421,16161,20,63,2685,0.16,53700,2
belted cape,539,295,497,294,107,397,244,0.83,26108,1
berserk potion,488,470,519,481,706,3327,18,0.04,12708,1
berserker,40953,37513,39881,37440,10,53,3440,0.09,34400,0
bestiary betterment,2990000,2479000,2951685,2573043,72,47,511000,0.21,24017000,2
big table kit,-1,100000,0,100000,0,1,-100001,-1.0,0,0
bill,-1,0,0,0,0,0,-1,0,0,0
birdcage kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
birthday backpack,64100,17100,68990,39694,54,43,47000,2.75,2021000,4
birthday cake,10000,600,5505,400,13,6,9400,15.67,56400,0
birthday card,8995,701,16127,703,5,2,8294,11.83,16588,0
birthday cup,50000,1,50000,0,1,0,49999,49999.0,0,0
black hood,790,116,849,115,2,54,674,5.81,1348,0
black jade cobra,4900,1,0,97,0,30,4899,4899.0,0,0
black pearl,280,265,289,274,43,1699,15,0.06,645,0
black pit demon,3397000,1200000,3989000,0,1,0,2197000,1.83,0,2
black raven kit,15000000,7000004,15000000,0,1,0,7999996,1.14,0,0
black shield,750,570,839,539,14,365,180,0.32,2520,0
black skull,3100,2488,3751,2340,23,199,612,0.25,14076,0
black wool,-1,2420,0,2002,0,4,-2421,-1.0,0,0
blacksteel sword,32000,5585,17680,5851,17,25,26415,4.73,449055,1
blade of carving,-1,-1,-1,-1,-1,-1,0,0,0,-1
blade of corruption,74400,48710,62375,48124,27,23,25690,0.53,590870,1
blade of destruction,329627,179900,352142,199347,14,10,149727,0.83,1497270,2
blade of mayhem,-1,-1,-1,-1,-1,-1,0,0,0,-1
blade of remedy,-1,-1,-1,-1,-1,-1,0,0,0,-1
bladespark figurine,73999,12536,95650,12568,3,2,61463,4.9,122926,0
blank poetry parchment,-1,0,0,0,0,0,-1,0,0,0
blank rune,11,10,11,10,1053,416,1,0.1,416,0
blazing bone,1754,1187,1648,1240,628,350,567,0.48,198450,5
blemished spawn abdomen,-1,386,0,373,0,17,-387,-1.0,0,0
blemished spawn head,-1,526,0,574,0,15,-527,-1.0,0,0
blemished spawn tail,-1,737,0,716,0,10,-738,-1.0,0,0
blessed acorn,9998,600,9999,1235,6,6,9398,15.66,56388,0
blessed ankh,14000,102,99750,101,2,9,13898,136.25,27796,2
blessed sceptre,83000,35141,58016,33969,15,4,47859,1.36,191436,0
blessed shield,-1,2000000,0,0,0,0,-2000001,-1.0,0,0
blessed steak,1073558,818101,1100082,938517,373,137,255457,0.31,34997609,6
blessed wooden stake,63999,41206,48100,40817,171,170,22793,0.55,3874810,3
blood goblet,9499,8040,9278,7913,12,58,1459,0.18,17508,0
blood herb,37888,21181,34493,16379,139,88,16707,0.79,1470216,4
blood preservation,315,215,298,278,10,537,100,0.47,1000,1
blood skull,4000000,210000,0,0,0,0,3790000,18.05,0,0
blood tincture in a vial,320,250,369,239,44,286,70,0.28,3080,1
blood of the mountain,370000,273001,581513,259755,29,6,96999,0.36,581994,3
bloodkiss flower,14993,60,21587,61,7,4,14933,248.88,59732,2
bloody dwarven beard,339,51,339,48,4,34,288,5.65,1152,0
bloody edge,34000,20001,31595,19490,17,57,13999,0.7,237983,0
bloody pincers,6299,5559,6162,5571,2567,1165,740,0.13,862100,7
bloody tears,71001,71001,123333,66387,3,8,0,0.0,0,0
blossom bag,362333,201200,383457,278249,92,86,161133,0.8,13857438,6
blue backpack,198,15,219,22,430,246,183,12.2,45018,2
blue bag,500,5,659,4,56,14,495,99.0,6930,0
blue bed kit,-1,-1,-1,-1,-1,-1,0,0,0,-1
blue crystal shard,1549,1485,1725,1483,2,1225,64,0.04,128,0
blue crystal splinter,499,394,0,393,0,307,105,0.27,0,0
blue fireworks powder,290,25,297,16,13,44,265,10.6,3445,2
blue fireworks rocket,-1,-1,-1,-1,-1,-1,0,0,0,-1
blue gem,4999,4955,4993,4955,3,3800,44,0.01,132,0
blue gingerbread heart,1900000,155555,0,155555,0,1,1744445,11.21,0,0
blue glass plate,200,45,115,40,25,127,155,3.44,3875,1
blue goanna scale,296,115,231,173,11,518,181,1.57,1991,1
blue legs,129497,100001,158641,120594,153,140,29496,0.29,4129440,4
blue piece of cloth,744,450,495,296,260,412,294,0.65,76440,3
blue pillow,488,0,989,0,1,0,488,0,0,0
blue pit demon,596999,55457,427373,55457,3,1,541542,9.77,541542,0
blue powder,-1,0,0,0,0,0,-1,0,0,0
blue quiver,888,100,1131,101,305,59,788,7.88,46492,0
blue robe,10442,9380,10334,9658,253,1219,1062,0.11,268686,1
blue rose,2499,84,3392,50,16,29,2415,28.75,38640,1
blue sphere,159000000,44445000,0,0,0,0,114555000,2.58,0,0
blue tapestry,497,1,487,1,14,7,496,496.0,3472,0
blue tome,57777777,43777777,54388888,0,2,0,14000000,0.32,0,3
blue and golden cordon,6897,10,0,403,0,10,6887,688.7,0,0
blueberry,599,2,423,2,12,4,597,298.5,2388,0
blueberry cupcake,799999,455000,1032749,826166,451,207,344999,0.76,71414793,2
boar man hoof,-1,356,0,358,0,23,-357,-1.0,0,0
boggy dreads,199,175,199,166,2,195,24,0.14,48,0
bola,34,20,30,15,6,259,14,0.7,84,0
bolfrim's golden bug trophy,450000,77777,494995,0,3,0,372223,4.79,0,0
bolt,3,1,3,1,114,102,2,2.0,204,0
bone,28950,26801,29683,27349,23,138,2149,0.08,49427,0
bone club,66,2,168,2,3,2,64,32.0,128,0
bone fetish,230,70,174,87,2,123,160,2.29,320,2
bone fiddle,1696900,1513379,2114521,1788046,134,149,183521,0.12,24591814,6
bone shield,140,10,107,19,7,89,130,13.0,910,1
bone shoulderplate,140,75,139,93,7,145,65,0.87,455,0
bone sword,1400,5,2250,5,2,46,1395,279.0,2790,1
bone toothpick,165,68,157,64,2,49,97,1.43,194,0
bonebeast trophy,7900,5001,5950,4756,30,135,2899,0.58,86970,1
bonebreaker,9980,9010,9740,8942,24,597,970,0.11,23280,1
bonecarving knife,350,70,350,85,2,37,280,4.0,560,0
bonelord eye,5487,3404,7339,5828,282,309,2083,0.61,587406,6
bonelord helmet,9999,9000,9513,7312,10,32,999,0.11,9990,0
bonelord shield,3333,980,4843,986,20,53,2353,2.4,47060,0
bones,10000,0,0,0,0,0,10000,0,0,0
bones of zorvorax,9994,5037,10698,7846,24,201,4957,0.98,118968,3
bonfire amulet,-1,350000,0,0,0,0,-350001,-1.0,0,0
bongo drum,-1,-1,-1,-1,-1,-1,0,0,0,-1
bony tail,209,184,204,182,33,667,25,0.14,825,6
book,-1,100,0,0,0,0,-101,-1.01,0,0
book backpack,178000,80900,179863,130984,51,36,97100,1.2,3495600,4
book page,850,535,900,559,1,47,315,0.59,315,0
book of lies,3200000,3200000,4279999,0,5,0,0,0.0,0,0
book of necromantic rituals,175,120,190,149,19,552,55,0.46,1045,1
book of orc language,198000,15201,194000,0,2,0,182799,12.03,0,0
book of prayers,300,43,366,63,5,85,257,5.98,1285,0
bookcase kit,-1,100000,0,0,0,0,-100001,-1.0,0,0
boots of haste,30199,29681,30079,29767,1750,2413,518,0.02,906500,1
boots of homecoming,13900,8000,16175,8731,27,43,5900,0.74,159300,1
boots of renewal,-1,-1,-1,-1,-1,-1,0,0,0,-1
boots of waterwalking,-1,0,0,0,0,0,-1,0,0,0
botany almanach,-1,-1,-1,-1,-1,-1,0,0,0,-1
bottle,0,0,14750,0,4,0,0,0,0,0
bottle of bug milk,1240,1,1127,437,127,8,1239,1239.0,9912,0
bottle of glooth wine,2500,600,4166,600,3,2,1900,3.17,3800,0
bottle of tibian wine,4999,2537,10476,2585,6,7,2462,0.97,14772,0
bottle of whisper beer,580,0,908,0,68,0,580,0,0,1
bow,123,43,112,38,54,169,80,1.86,4320,0
bow of carving,-1,-1,-1,-1,-1,-1,0,0,0,-1
bow of cataclysm,1884000,1208000,1559868,1311199,63,49,676000,0.56,33124000,3
bow of destruction,350000,252100,343091,259682,44,39,97900,0.39,3818100,2
bow of mayhem,-1,-1,-1,-1,-1,-1,0,0,0,-1
bow of remedy,-1,-1,-1,-1,-1,-1,0,0,0,-1
bowl,5009,11,9989,11,5,1,4998,454.36,4998,0
bowl of evergreen flowers,1600,100,1880,51,140,4,1500,15.0,6000,0
bowl of glooth soup,8,1,8,1,6,8,7,7.0,42,0
bowl of terror sweat,485,166,0,166,0,4,319,1.92,0,0
bowl with sacred water,-1,0,0,0,0,0,-1,0,0,0
bracelet of strengthening,46000000,46000000,60088966,48018485,9,3,0,0.0,0,0
brain head's brain,-1,25000,0,0,0,0,-25001,-1.0,0,0
brain head's giant neuron,-1,13500,0,0,0,0,-13501,-1.0,0,0
brain head's left hemisphere,-1,200000,0,0,0,0,-200001,-1.0,0,0
brain head's right hemisphere,-1,26462,0,26107,0,1,-26463,-1.0,0,0
brain in a jar,400000,205004,304293,212682,52,42,194996,0.95,8189832,1
brainstealer's brain,370000,296000,0,285340,0,10,74000,0.25,0,0
brainstealer's brainwave,-1,340000,0,300010,0,1,-340001,-1.0,0,0
brainstealer's tissue,230000,210100,216666,209236,3,47,19900,0.09,59700,1
branch,-1,0,0,0,0,0,-1,0,0,0
brass armor,111,76,205,70,25,348,35,0.46,875,0
brass helmet,-1,5,0,11,0,24,-6,-1.2,0,0
brass legs,70,25,84,37,25,202,45,1.8,1125,0
brass shield,49,7,57,5,6,15,42,6.0,252,0
bread,1900000,155555,0,155555,0,1,1744445,11.21,0,0
bricklayers' kit,325,0,329,0,8,0,325,0,0,0
bright bell,600,73,0,81,0,36,527,7.22,0,0
bright sword,83999,51600,97446,45672,33,34,32399,0.63,1069167,3
brimstone fangs,13700,11056,13182,11213,690,458,2644,0.24,1210952,7
brimstone shell,450,210,492,201,150,280,240,1.14,36000,1
broadsword,440,300,451,335,24,419,140,0.47,3360,1
brocade backpack,92,22,92,14,455,293,70,3.18,20510,0
brocade bag,494,5,522,5,55,17,489,97.8,8313,0
broccoli,1997,5,0,0,0,0,1992,398.4,0,0
broken amulet,999000000,500000000,0,0,0,0,499000000,1.0,0,0
broken crossbow,99,11,124,17,8,181,88,8.0,704,1
broken draken mail,999,1,0,103,0,61,998,998.0,0,1
broken dream,38,0,40,0,17,0,38,0,0,0
broken gladiator shield,177,125,179,132,7,314,52,0.42,364,0
broken halberd,90,87,93,83,1,164,3,0.03,3,1
broken helmet,29,11,0,12,0,266,18,1.64,0,1
broken iks cuirass,4399998,1250000,3369039,1958743,10,6,3149998,2.52,18899988,0
broken iks faulds,1000000,1000000,1351538,1000000,7,1,0,0.0,0,2
broken iks headpiece,1389999,1000000,1186249,1000000,8,1,389999,0.39,389999,1
broken iks sandals,389999,300000,466877,300000,9,1,89999,0.3,89999,0
broken iks spear,650000,250000,747499,290000,8,4,400000,1.6,1600000,0
broken key ring,7996,7900,7948,7690,7,385,96,0.01,672,0
broken longbow,42295,33055,44869,34622,165,128,9240,0.28,1182720,2
broken macuahuitl,500000,500000,2500000,425000,3,2,0,0.0,0,0
broken ring of ending,7250,3900,6443,4159,25,94,3350,0.86,83750,1
broken shamanic staff,7758,6525,7264,6572,1964,1508,1233,0.19,1859364,7
broken slicer,700,41,755,70,3,52,659,16.07,1977,0
broken throwing axe,300,83,489,83,3,21,217,2.61,651,0
broken visor,1800,800,1799,890,2,24,1000,1.25,2000,1
broken wedding ring,-1,0,0,0,0,0,-1,0,0,0
broken wooden shield,-1,-1,-1,-1,-1,-1,0,0,0,-1
bronze amulet,70,2,104,7,150,128,68,34.0,8704,0
bronze gear wheel,20,0,26,0,29,0,20,0,0,0
bronze necklace,500000000,10000000,0,0,0,0,490000000,49.0,0,1
bronze prison key,247694,200325,349185,194324,12,10,47369,0.24,473690,1
brooch of embracement,50000,10002,0,10001,0,4,39998,4.0,0,0
broom,395,0,395,0,7,0,395,0,0,0
brown bread,6,6,88,6,2,7,0,0.0,0,0
brown crystal splinter,418,391,409,383,3,841,27,0.07,81,0
brown flask,98,1,317,1,4,15,97,97.0,388,0
brown mushroom,11,10,11,10,6971,619,1,0.1,619,0
brown piece of cloth,1900,350,793,202,226,348,1550,4.43,350300,5
brown pit demon,9997,2740,9991,2675,7,4,7257,2.65,29028,0
brush,500000,238700,0,238750,0,2,261300,1.09,0,0
brutetamer's staff,5000,5,0,563,0,16,4995,999.0,0,0
brutus bloodbeard's hat,990000,710100,802698,632887,17,6,279900,0.39,1679400,1
bucket,298,5,340,5,69,20,293,58.6,5860,0
bucket of bog water,-1,-1,-1,-1,-1,-1,0,0,0,-1
buckle,200,1,200,79,1,30,199,199.0,199,1
bug meat,1500,0,171,0,105,0,1500,0,0,0
buggy backpack,19999,10700,28640,10470,65,39,9299,0.87,362661,3
building plans for a ship,94999,0,0,0,0,0,94999,0,0,0
bulb of garlic,3,3,30,2,82,18,0,0.0,0,0
bullseye potion,527,480,503,479,1363,2538,47,0.1,64061,2
bunch of reed,1000,0,0,0,0,0,1000,0,0,1
bunch of ripe rice,179,21,0,42,0,116,158,7.52,0,0
bunch of sugar cane,400,250,449,157,3,4,150,0.6,450,0
bunch of troll hair,99,9,890,13,1,56,90,10.0,90,0
bunch of wheat,93,1,97,43,27,46,92,92.0,2484,0
bundle of cursed straw,980,493,979,473,7,75,487,0.99,3409,1
bundle of rags,-1,0,0,0,0,0,-1,0,0,0
bunnyslippers,179999999,121222000,169999999,120000000,2,1,58777999,0.48,58777999,2
burnt down rainbow torch,-1,-1,-1,-1,-1,-1,0,0,0,-1
burnt out devourer core,499700,201000,598966,235500,3,2,298700,1.49,597400,0
burnt scroll,44,0,50,0,1,0,44,0,0,0
burst arrow,10,7,8,6,737,679,3,0.43,2037,0
butcher's axe,17900,17385,17747,17477,6,571,515,0.03,3090,1
butterfly ring,2100,1003,2095,1720,497,401,1097,1.09,439897,4
cake backpack,3698,648,3556,552,127,96,3050,4.71,292800,2
cake cabinet kit,454,1,498,90,4,6,453,453.0,1812,1
cake tapestry,498,190,1248,120,11,18,308,1.62,3388,1
calibrated indicator gauge,9999,11,9999,0,1,0,9988,908.0,0,0
calopteryx cape,14676,11532,15351,12612,74,118,3144,0.27,232656,0
camouflage backpack,49,3,77,13,285,228,46,15.33,10488,0
camouflage bag,486,4,666,3,24,7,482,120.5,3374,0
candelabrum,1111,0,1800,0,2,0,1111,0,0,0
candle made of human tallow,500000,5035,0,0,0,0,494965,98.3,0,0
candle stump,79313,24700,66468,39156,34,25,54613,2.21,1365325,2
candy,39,5,45,3,29,115,34,6.8,986,0
candy cane,98,21,159,61,12,155,77,3.67,924,0
candy floss,1111,1111,1243,1111,18,3,0,0.0,0,0
canopy bed kit,-1,-1,-1,-1,-1,-1,0,0,0,-1
cape,539,295,497,294,107,397,244,0.83,26108,1
capricious heart,-1,1000,0,0,0,0,-1001,-1.0,0,0
capricious robe,-1,401,0,400,0,1,-402,-1.0,0,0
captured wolf,498,0,467,0,5,0,498,0,0,0
carapace shield,31570,27749,31364,27267,21,62,3821,0.14,80241,1
carlin sword,148,54,147,54,20,51,94,1.74,1880,0
carniphila seeds,150,32,669,37,5,100,118,3.69,590,1
carnisylvan bark,1000,109,561,105,50,25,891,8.17,22275,1
carnisylvan finger,420,125,1768,234,59,22,295,2.36,6490,1
carnivostrich feather,-1,200,0,231,0,13,-201,-1.0,0,0
carrion worm fang,96,12,69,12,12,144,84,7.0,1008,1
carrot,31,3,38,2,171,41,28,9.33,1148,0
carrot cake,59185,46010,66517,46896,118,44,13175,0.29,579700,3
carrot on a stick,14490,9016,28048,17879,114,75,5474,0.61,410550,5
carrying device,-1,0,0,0,0,0,-1,0,0,0
case of rust bugs,50000,0,50000,0,1,0,50000,0,0,0
cask of brown ale,22000,0,22450,0,2,0,22000,0,0,0
castle shield,17430,5000,7298,4162,7,37,12430,2.49,87010,0
cat's paw,1999,1502,1963,1387,6,203,497,0.33,2982,2
cauliflower,-1,250,0,625,0,2,-251,-1.0,0,0
cave chimera head,-1,600,0,0,0,0,-601,-1.0,0,0
cave chimera leg,-1,223,0,223,0,2,-224,-1.0,0,0
cave devourer eyes,-1,183,0,183,0,4,-184,-1.01,0,0
cave devourer legs,-1,117,0,116,0,2,-118,-1.01,0,0
cave devourer maw,-1,311,0,303,0,4,-312,-1.0,0,0
cave turnip,20,0,100,0,1,0,20,0,0,0
cavebear skull,300000,15000,300000,14444,2,1,285000,19.0,285000,0
centipede leg,100,16,149,17,27,129,84,5.25,2268,2
ceremonial ankh,19857,16012,19749,15724,71,94,3845,0.24,272995,3
ceremonial mask,-1,100000,0,0,0,0,-100001,-1.0,0,0
certificate,599,0,599,0,1,0,599,0,0,0
chain armor,94,45,86,33,9,132,49,1.09,441,0
chain bolter,50000000,40000000,0,40000000,0,1,10000000,0.25,0,0
chain helmet,-1,3,0,4,0,42,-4,-1.33,0,0
chain legs,-1,6,0,5,0,16,-7,-1.17,0,0
chameleon rune,177,26,135,18,303,89,151,5.81,13439,1
chaos mace,9597,8885,9598,8892,5,779,712,0.08,3560,0
chargeable compass,670,1,597,64,4,23,669,669.0,2676,0
charged alicorn ring,107022000,107022000,122564233,109583700,21,16,0,0.0,0,2
charged arboreal ring,118979000,103022000,114213909,107247076,22,13,15957000,0.15,207441000,2
charged arcanomancer sigil,98500000,87022000,93402720,86398666,18,9,11478000,0.13,103302000,0
charged ghost charm,49999,6666,71220,8888,3,2,43333,6.5,86666,4
charged spiritthorn ring,163000000,143022000,155385772,143382500,22,12,19978000,0.14,239736000,1
charm upgrade,1419998,952000,1207579,821224,42,31,467998,0.49,14507938,2
charmer's tiara,994,502,995,446,3,137,492,0.98,1476,2
chasm spawn abdomen,-1,117,0,115,0,6,-118,-1.01,0,0
chasm spawn head,-1,301,0,301,0,6,-302,-1.0,0,0
chasm spawn tail,-1,91,0,89,0,8,-92,-1.01,0,0
chayenne's magical key,114888888,91000001,106296295,0,3,0,23888887,0.26,0,1
cheese,0,0,6,0,35,0,0,0,0,0
cheese cookie,-1,0,0,0,0,0,-1,0,0,0
cheese cutter,49,25,42,36,10,240,24,0.96,240,1
